,Date,Symbol,Open,High,Low,Close,SP,Vol,OI
0,2014-01-03,S50H14C775,55.5,55.5,55.5,55.5,56.1,1,1.0
1,2014-01-06,S50H14C775,50.0,63.0,50.0,63.0,62.9,11,11.0
2,2014-01-07,S50H14C775,79.9,82.9,79.9,82.9,82.9,7,18.0
3,2014-01-08,S50H14C775,89.0,89.0,89.0,89.0,84.9,1,18.0
4,2014-01-09,S50H14C775,0,0,0,0,88.5,0,18.0
5,2014-01-10,S50H14C775,0,0,0,0,86.7,0,18.0
6,2014-01-13,S50H14C775,85.9,101.0,85.9,101.0,101.0,4,21.0
7,2014-01-14,S50H14C775,0,0,0,0,113.5,0,21.0
8,2014-01-15,S50H14C775,0,0,0,0,98.3,0,21.0
9,2014-01-16,S50H14C775,0,0,0,0,113.8,0,21.0
10,2014-01-17,S50H14C775,0,0,0,0,110.0,0,21.0
11,2014-01-20,S50H14C775,0,0,0,0,105.3,0,21.0
12,2014-01-21,S50H14C775,0,0,0,0,106.5,0,21.0
13,2014-01-22,S50H14C775,0,0,0,0,105.3,0,21.0
14,2014-01-23,S50H14C775,0,0,0,0,118.9,0,21.0
15,2014-01-24,S50H14C775,0,0,0,0,123.4,0,21.0
16,2014-01-27,S50H14C775,0,0,0,0,104.5,0,21.0
17,2014-01-28,S50H14C775,0,0,0,0,92.3,0,21.0
18,2014-01-29,S50H14C775,0,0,0,0,90.6,0,21.0
19,2014-01-30,S50H14C775,0,0,0,0,85.1,0,21.0
20,2014-01-31,S50H14C775,0,0,0,0,92.9,0,21.0
21,2014-02-03,S50H14C775,0,0,0,0,104.7,0,21.0
22,2014-02-04,S50H14C775,0,0,0,0,91.2,0,21.0
23,2014-02-05,S50H14C775,0,0,0,0,92.7,0,21.0
24,2014-02-06,S50H14C775,0,0,0,0,103.1,0,21.0
25,2014-02-07,S50H14C775,0,0,0,0,104.4,0,21.0
26,2014-02-10,S50H14C775,99.9,99.9,99.9,99.9,99.9,5,22.0
27,2014-02-11,S50H14C775,99.9,99.9,99.9,99.9,99.9,1,23.0
28,2014-02-12,S50H14C775,105.0,105.0,105.0,105.0,105.0,6,29.0
29,2014-02-13,S50H14C775,0,0,0,0,114.2,0,29.0
30,2014-02-17,S50H14C775,0,0,0,0,130.1,0,29.0
31,2014-02-18,S50H14C775,0,0,0,0,125.1,0,29.0
32,2014-02-19,S50H14C775,0,0,0,0,120.9,0,29.0
33,2014-02-20,S50H14C775,0,0,0,0,107.7,0,29.0
34,2014-02-21,S50H14C775,101.0,101.0,101.0,101.0,101.0,1,29.0
35,2014-02-24,S50H14C775,0,0,0,0,105.8,0,29.0
36,2014-02-25,S50H14C775,0,0,0,0,107.4,0,29.0
37,2014-02-26,S50H14C775,0,0,0,0,107.8,0,29.0
38,2014-02-27,S50H14C775,0,0,0,0,118.3,0,29.0
39,2014-02-28,S50H14C775,0,0,0,0,123.6,0,29.0
40,2014-03-03,S50H14C775,0,0,0,0,134.1,0,29.0
41,2014-03-04,S50H14C775,0,0,0,0,138.1,0,29.0
42,2014-03-05,S50H14C775,0,0,0,0,141.7,0,29.0
