,Date,Symbol,Open,High,Low,Close,SP,Vol,OI
0,2021-12-01,S50H22P825,8.5,9.8,7.7,7.7,7.7,976,951.0
1,2021-12-02,S50H22P825,8.6,8.6,7.5,7.5,7.6,525,1418.0
2,2021-12-03,S50H22P825,7.6,7.6,6.2,7.0,7.0,265,1554.0
3,2021-12-07,S50H22P825,5.0,5.7,4.3,4.3,4.4,270,1748.0
4,2021-12-08,S50H22P825,3.7,4.3,3.5,3.5,3.6,146,1779.0
5,2021-12-09,S50H22P825,3.9,4.0,3.5,3.8,3.7,186,1907.0
6,2021-12-13,S50H22P825,3.4,3.7,3.3,3.5,3.5,356,2148.0
7,2021-12-14,S50H22P825,3.6,4.1,3.4,3.5,3.5,427,2518.0
8,2021-12-15,S50H22P825,3.5,4.0,3.4,3.9,3.9,222,2693.0
9,2021-12-16,S50H22P825,3.6,3.7,2.5,2.5,2.8,223,2797.0
10,2021-12-17,S50H22P825,2.9,3.0,2.6,2.6,2.6,63,2837.0
11,2021-12-20,S50H22P825,3.5,4.5,3.2,4.0,4.0,424,3041.0
12,2021-12-21,S50H22P825,3.8,3.8,3.2,3.5,3.5,118,3069.0
13,2021-12-22,S50H22P825,3.3,3.4,3.2,3.3,3.3,42,3091.0
14,2021-12-23,S50H22P825,3.2,3.2,2.4,2.6,2.6,143,3138.0
15,2021-12-24,S50H22P825,2.4,2.6,2.3,2.3,2.3,133,3210.0
16,2021-12-27,S50H22P825,2.4,2.5,2.3,2.4,2.4,131,3323.0
17,2021-12-28,S50H22P825,2.2,2.2,1.9,2.1,2.1,103,3376.0
18,2021-12-29,S50H22P825,2.1,2.1,1.8,1.9,1.9,158,3476.0
19,2021-12-30,S50H22P825,1.9,2.0,1.7,1.7,1.8,572,3641.0
20,2022-01-04,S50H22P825,1.6,1.9,1.2,1.3,1.3,183,3792.0
21,2022-01-05,S50H22P825,1.4,1.6,1.3,1.3,1.3,538,4235.0
22,2022-01-06,S50H22P825,1.6,2.3,1.6,2.0,2.2,250,4427.0
23,2022-01-07,S50H22P825,2.0,2.1,1.6,2.1,2.0,161,4567.0
24,2022-01-10,S50H22P825,1.6,1.8,1.5,1.7,1.7,62,4619.0
25,2022-01-11,S50H22P825,1.6,1.7,1.4,1.4,1.4,106,4677.0
26,2022-01-12,S50H22P825,1.2,1.3,1.1,1.1,1.1,137,4765.0
27,2022-01-13,S50H22P825,1.0,1.1,1.0,1.1,1.1,178,4857.0
28,2022-01-14,S50H22P825,1.3,1.4,1.0,1.0,1.0,334,5072.0
29,2022-01-17,S50H22P825,1.0,1.1,1.0,1.0,1.0,259,5193.0
30,2022-01-18,S50H22P825,0.9,1.3,0.9,1.3,1.3,249,5371.0
31,2022-01-19,S50H22P825,1.2,1.3,1.1,1.1,1.1,91,5421.0
32,2022-01-20,S50H22P825,1.0,1.1,1.0,1.1,1.1,180,5552.0
33,2022-01-21,S50H22P825,1.3,1.5,1.1,1.1,1.1,443,5790.0
34,2022-01-24,S50H22P825,1.3,1.3,1.1,1.2,1.2,317,5894.0
35,2022-01-25,S50H22P825,1.3,1.8,1.2,1.3,1.3,452,5919.0
36,2022-01-26,S50H22P825,1.0,1.1,1.0,1.1,1.1,217,6038.0
37,2022-01-27,S50H22P825,1.7,1.7,1.0,1.0,1.0,658,6450.0
38,2022-01-28,S50H22P825,1.0,1.1,1.0,1.0,1.0,594,6902.0
39,2022-01-31,S50H22P825,0.9,0.9,0.8,0.8,0.8,324,7126.0
40,2022-02-01,S50H22P825,0.8,0.8,0.6,0.7,0.7,483,7443.0
41,2022-02-02,S50H22P825,0.6,0.6,0.6,0.6,0.6,263,7505.0
42,2022-02-03,S50H22P825,0.6,0.7,0.6,0.7,0.7,123,7594.0
43,2022-02-04,S50H22P825,0.6,0.6,0.6,0.6,0.6,51,7639.0
44,2022-02-07,S50H22P825,0.6,0.6,0.5,0.5,0.5,261,7676.0
45,2022-02-08,S50H22P825,0.4,0.5,0.4,0.5,0.5,131,7701.0
46,2022-02-09,S50H22P825,0.3,0.4,0.3,0.3,0.3,489,7943.0
47,2022-02-10,S50H22P825,0.3,0.3,0.2,0.3,0.3,113,7943.0
48,2022-02-11,S50H22P825,0.3,0.3,0.3,0.3,0.3,7,7944.0
49,2022-02-14,S50H22P825,0.3,0.4,0.3,0.4,0.4,7,7939.0
50,2022-02-15,S50H22P825,0.3,0.4,0.3,0.4,0.4,4,7940.0
51,2022-02-17,S50H22P825,0.2,0.3,0.2,0.3,0.3,92,7984.0
52,2022-02-18,S50H22P825,0.3,0.3,0.3,0.3,0.3,40,8004.0
53,2022-02-21,S50H22P825,0.3,0.4,0.3,0.4,0.4,5,8002.0
54,2022-02-22,S50H22P825,0.4,0.5,0.3,0.3,0.3,118,8011.0
55,2022-02-23,S50H22P825,0.3,0.3,0.3,0.3,0.3,20,8011.0
56,2022-02-24,S50H22P825,0.4,0.7,0.4,0.4,0.4,129,7982.0
57,2022-02-25,S50H22P825,0.3,0.3,0.3,0.3,0.3,468,8132.0
58,2022-02-28,S50H22P825,0.3,0.3,0.3,0.3,0.3,51,8092.0
59,2022-03-01,S50H22P825,0,0,0,0,0.1,0,8092.0
60,2022-03-02,S50H22P825,0.2,0.3,0.2,0.3,0.3,3,8094.0
61,2022-03-03,S50H22P825,0.2,0.2,0.2,0.2,0.2,21,8114.0
62,2022-03-04,S50H22P825,0.2,0.2,0.2,0.2,0.2,2,8114.0
63,2022-03-07,S50H22P825,0.3,0.5,0.3,0.4,0.4,135,8110.0
64,2022-03-08,S50H22P825,0.4,0.6,0.3,0.3,0.3,677,7824.0
65,2022-03-09,S50H22P825,0.3,0.3,0.2,0.3,0.3,58,7820.0
66,2022-03-10,S50H22P825,0.3,0.4,0.3,0.3,0.3,225,7746.0
67,2022-03-11,S50H22P825,0,0,0,0,0.1,0,7746.0
68,2022-03-14,S50H22P825,0.1,0.1,0.1,0.1,0.1,101,7746.0
69,2022-03-15,S50H22P825,0.1,0.1,0.1,0.1,0.1,36,7710.0
70,2022-03-16,S50H22P825,0,0,0,0,0.1,0,7710.0
