,Date,Symbol,Open,High,Low,Close,SP,Vol,OI
0,2016-12-29,S50M17C900,0,0,0,0,61.0,0,0.0
1,2016-12-30,S50M17C900,78.0,78.0,77.7,77.7,75.6,12,12.0
2,2017-01-04,S50M17C900,0,0,0,0,79.3,0,12.0
3,2017-01-05,S50M17C900,88.2,88.2,88.2,88.2,83.2,10,22.0
4,2017-01-06,S50M17C900,0,0,0,0,81.3,0,22.0
5,2017-01-09,S50M17C900,80.7,80.7,80.7,80.7,76.5,3,22.0
6,2017-01-10,S50M17C900,84.0,84.9,84.0,84.9,80.6,6,23.0
7,2017-01-11,S50M17C900,88.0,88.0,88.0,88.0,78.6,1,24.0
8,2017-01-12,S50M17C900,90.3,90.3,84.0,84.0,84.0,160,184.0
9,2017-01-13,S50M17C900,0,0,0,0,79.1,0,184.0
10,2017-01-16,S50M17C900,0,0,0,0,75.8,0,184.0
11,2017-01-17,S50M17C900,0,0,0,0,72.9,0,184.0
12,2017-01-18,S50M17C900,0,0,0,0,69.0,0,184.0
13,2017-01-19,S50M17C900,76.5,76.5,76.4,76.4,65.7,2,184.0
14,2017-01-20,S50M17C900,0,0,0,0,68.5,0,184.0
15,2017-01-23,S50M17C900,0,0,0,0,71.4,0,184.0
16,2017-01-24,S50M17C900,0,0,0,0,79.2,0,184.0
17,2017-01-25,S50M17C900,0,0,0,0,85.2,0,184.0
18,2017-01-26,S50M17C900,0,0,0,0,92.9,0,184.0
19,2017-01-27,S50M17C900,93.8,93.8,93.8,93.8,90.4,1,183.0
20,2017-01-30,S50M17C900,0,0,0,0,89.0,0,183.0
21,2017-01-31,S50M17C900,0,0,0,0,79.8,0,183.0
22,2017-02-01,S50M17C900,84.7,86.0,83.8,86.0,86.0,3,183.0
23,2017-02-02,S50M17C900,0,0,0,0,77.8,0,183.0
24,2017-02-03,S50M17C900,0,0,0,0,86.0,0,183.0
25,2017-02-06,S50M17C900,96.6,96.6,96.6,96.6,91.2,2,183.0
26,2017-02-07,S50M17C900,0,0,0,0,86.4,0,183.0
27,2017-02-08,S50M17C900,0,0,0,0,91.3,0,183.0
28,2017-02-09,S50M17C900,0,0,0,0,85.8,0,183.0
29,2017-02-10,S50M17C900,0,0,0,0,87.5,0,183.0
30,2017-02-14,S50M17C900,0,0,0,0,78.2,0,183.0
31,2017-02-15,S50M17C900,80.1,80.1,80.1,80.1,81.0,5,183.0
32,2017-02-16,S50M17C900,0,0,0,0,82.7,0,183.0
33,2017-02-17,S50M17C900,91.0,92.5,89.5,89.6,84.4,21,204.0
34,2017-02-20,S50M17C900,0,0,0,0,84.8,0,204.0
35,2017-02-21,S50M17C900,0,0,0,0,77.0,0,204.0
36,2017-02-22,S50M17C900,81.8,81.8,81.8,81.8,81.8,10,214.0
37,2017-02-23,S50M17C900,83.4,83.4,82.3,83.1,78.4,4,218.0
38,2017-02-24,S50M17C900,81.5,81.5,80.5,80.5,77.2,3,220.0
39,2017-02-27,S50M17C900,77.0,77.0,73.1,73.1,72.0,2,219.0
40,2017-02-28,S50M17C900,74.9,74.9,74.9,74.9,75.2,21,219.0
41,2017-03-01,S50M17C900,81.5,81.5,81.5,81.5,81.2,1,220.0
42,2017-03-02,S50M17C900,86.0,86.0,86.0,86.0,86.0,10,220.0
43,2017-03-03,S50M17C900,78.2,78.4,78.1,78.1,78.6,30,250.0
44,2017-03-06,S50M17C900,70.8,71.0,67.3,67.3,67.3,12,250.0
45,2017-03-07,S50M17C900,70.9,70.9,70.9,70.9,70.9,1,250.0
46,2017-03-08,S50M17C900,70.2,70.2,68.2,69.1,69.1,3,251.0
47,2017-03-09,S50M17C900,0,0,0,0,73.1,0,251.0
48,2017-03-10,S50M17C900,66.7,67.0,66.4,66.4,66.4,7,251.0
49,2017-03-13,S50M17C900,64.7,68.0,64.7,68.0,68.0,30,230.0
50,2017-03-14,S50M17C900,0,0,0,0,72.8,0,230.0
51,2017-03-15,S50M17C900,0,0,0,0,71.3,0,230.0
52,2017-03-16,S50M17C900,74.8,78.0,74.8,78.0,78.0,4,234.0
53,2017-03-17,S50M17C900,77.4,82.2,77.4,82.2,84.0,2,235.0
54,2017-03-20,S50M17C900,86.6,86.6,82.6,82.6,85.1,6,235.0
55,2017-03-21,S50M17C900,87.6,87.6,87.6,87.6,89.5,1,235.0
56,2017-03-22,S50M17C900,85.0,85.0,85.0,85.0,87.2,1,236.0
57,2017-03-23,S50M17C900,85.5,85.5,85.5,85.5,88.3,1,236.0
58,2017-03-24,S50M17C900,86.5,90.0,86.5,90.0,90.0,3,236.0
59,2017-03-27,S50M17C900,0,0,0,0,90.7,0,236.0
60,2017-03-28,S50M17C900,92.0,94.0,92.0,94.0,93.0,3,236.0
61,2017-03-29,S50M17C900,94.0,94.0,94.0,94.0,94.0,1,236.0
62,2017-03-30,S50M17C900,92.7,98.0,92.7,98.0,96.9,9,240.0
63,2017-03-31,S50M17C900,93.7,93.7,90.5,90.5,91.9,6,244.0
64,2017-04-03,S50M17C900,91.5,95.0,91.5,95.0,94.9,3,245.0
65,2017-04-04,S50M17C900,96.0,97.0,96.0,97.0,96.6,3,245.0
66,2017-04-05,S50M17C900,98.0,98.0,98.0,98.0,98.0,1,245.0
67,2017-04-07,S50M17C900,98.0,98.0,98.0,98.0,98.0,1,245.0
68,2017-04-10,S50M17C900,98.0,99.0,98.0,99.0,98.4,3,244.0
69,2017-04-11,S50M17C900,98.0,100.0,98.0,100.0,100.0,3,244.0
70,2017-04-12,S50M17C900,100.0,100.0,100.0,100.0,101.5,5,244.0
71,2017-04-17,S50M17C900,101.3,101.3,96.6,96.6,96.6,11,245.0
72,2017-04-18,S50M17C900,97.0,97.0,93.5,93.5,93.5,11,236.0
73,2017-04-19,S50M17C900,92.8,92.8,92.8,92.8,92.8,1,235.0
74,2017-04-20,S50M17C900,93.2,95.1,92.3,92.3,92.3,4,236.0
75,2017-04-21,S50M17C900,0,0,0,0,92.2,0,236.0
76,2017-04-24,S50M17C900,94.0,94.0,93.0,93.0,92.6,12,231.0
77,2017-04-25,S50M17C900,0,0,0,0,90.0,0,231.0
78,2017-04-26,S50M17C900,0,0,0,0,93.6,0,231.0
79,2017-04-27,S50M17C900,0,0,0,0,91.9,0,231.0
80,2017-04-28,S50M17C900,0,0,0,0,90.8,0,231.0
81,2017-05-02,S50M17C900,0,0,0,0,89.8,0,231.0
82,2017-05-03,S50M17C900,0,0,0,0,90.6,0,231.0
83,2017-05-04,S50M17C900,0,0,0,0,96.1,0,231.0
84,2017-05-05,S50M17C900,0,0,0,0,94.4,0,231.0
85,2017-05-08,S50M17C900,0,0,0,0,93.9,0,231.0
86,2017-05-09,S50M17C900,97.7,97.7,95.7,95.7,95.7,2,232.0
87,2017-05-11,S50M17C900,91.5,91.5,91.5,91.5,91.5,1,232.0
88,2017-05-12,S50M17C900,83.9,85.0,83.9,85.0,84.7,2,232.0
89,2017-05-15,S50M17C900,84.4,84.4,82.4,82.4,82.4,6,232.0
90,2017-05-16,S50M17C900,84.6,84.6,84.6,84.6,84.6,1,232.0
91,2017-05-17,S50M17C900,0,0,0,0,81.7,0,232.0
92,2017-05-18,S50M17C900,0,0,0,0,78.7,0,232.0
93,2017-05-19,S50M17C900,0,0,0,0,80.1,0,232.0
94,2017-05-22,S50M17C900,0,0,0,0,85.4,0,232.0
95,2017-05-23,S50M17C900,0,0,0,0,88.8,0,232.0
96,2017-05-24,S50M17C900,90.0,90.0,90.0,90.0,90.6,2,232.0
97,2017-05-25,S50M17C900,92.6,92.6,92.6,92.6,92.6,1,232.0
98,2017-05-26,S50M17C900,0,0,0,0,90.2,0,232.0
99,2017-05-29,S50M17C900,92.6,92.6,92.6,92.6,92.6,2,232.0
100,2017-05-30,S50M17C900,0,0,0,0,89.9,0,232.0
101,2017-05-31,S50M17C900,0,0,0,0,84.6,0,232.0
102,2017-06-01,S50M17C900,0,0,0,0,86.4,0,232.0
103,2017-06-02,S50M17C900,0,0,0,0,88.8,0,232.0
104,2017-06-05,S50M17C900,0,0,0,0,87.1,0,232.0
105,2017-06-06,S50M17C900,0,0,0,0,88.9,0,232.0
106,2017-06-07,S50M17C900,0,0,0,0,86.8,0,232.0
107,2017-06-08,S50M17C900,0,0,0,0,89.7,0,232.0
108,2017-06-09,S50M17C900,0,0,0,0,86.5,0,232.0
109,2017-06-12,S50M17C900,0,0,0,0,84.0,0,232.0
110,2017-06-13,S50M17C900,0,0,0,0,90.4,0,232.0
111,2017-06-14,S50M17C900,0,0,0,0,92.4,0,232.0
112,2017-06-15,S50M17C900,0,0,0,0,88.9,0,232.0
113,2017-06-16,S50M17C900,0,0,0,0,91.4,0,232.0
114,2017-06-19,S50M17C900,0,0,0,0,95.4,0,232.0
115,2017-06-20,S50M17C900,0,0,0,0,94.1,0,232.0
116,2017-06-21,S50M17C900,0,0,0,0,92.3,0,232.0
117,2017-06-22,S50M17C900,0,0,0,0,94.6,0,232.0
118,2017-06-23,S50M17C900,0,0,0,0,96.0,0,232.0
119,2017-06-26,S50M17C900,0,0,0,0,97.3,0,232.0
120,2017-06-27,S50M17C900,99.5,99.5,99.5,99.5,98.3,1,232.0
121,2017-06-28,S50M17C900,98.3,98.5,97.9,97.9,97.9,10,232.0
122,2017-06-29,S50M17C900,0,0,0,0,995.1,0,232.0
123,2016-12-29,S50M17C925,0,0,0,0,43.0,0,0.0
