,Date,Symbol,Open,High,Low,Close,SP,Vol,OI
0,2018-06-26,S50M18P1000,0.2,0.2,0.2,0.2,0.5,25,25.0
1,2018-06-27,S50M18P1000,0,0,0,0,0.1,0,25.0
2,2018-06-28,S50M18P1000,0,0,0,0,1062.46,0,25.0
3,2018-06-20,S50M18P1025,1.3,3.5,1.2,1.3,1.3,621,591.0
4,2018-06-21,S50M18P1025,2.2,2.9,1.0,2.4,2.4,124,651.0
5,2018-06-22,S50M18P1025,1.7,2.0,1.0,1.2,1.2,296,868.0
6,2018-06-25,S50M18P1025,1.0,1.6,0.6,1.6,1.6,29,878.0
7,2018-06-26,S50M18P1025,0.9,1.2,0.5,1.2,1.2,11,888.0
8,2018-06-27,S50M18P1025,0.1,0.8,0.1,0.3,0.3,24,908.0
9,2018-06-28,S50M18P1025,0,0,0,0,1062.46,0,908.0
10,2018-06-19,S50M18P1050,1.5,7.9,1.0,7.9,7.5,315,215.0
11,2018-06-20,S50M18P1050,8.0,8.0,2.1,2.6,2.6,839,733.0
12,2018-06-21,S50M18P1050,2.8,8.0,2.8,6.0,5.6,848,1023.0
13,2018-06-22,S50M18P1050,5.6,5.6,2.5,3.0,3.2,526,1304.0
14,2018-06-25,S50M18P1050,3.2,4.8,2.0,4.1,4.1,768,1588.0
15,2018-06-26,S50M18P1050,5.1,5.2,1.9,2.0,2.2,472,1618.0
16,2018-06-27,S50M18P1050,1.5,2.8,0.5,2.5,2.0,465,1770.0
17,2018-06-28,S50M18P1050,1.9,2.9,0.1,0.1,1062.46,474,1515.0
18,2017-12-28,S50M18P1075,10.0,10.0,9.0,9.2,9.2,28,28.0
19,2017-12-29,S50M18P1075,9.9,10.0,9.9,9.9,9.9,87,115.0
20,2018-01-03,S50M18P1075,8.6,8.6,6.0,6.0,6.0,104,218.0
21,2018-01-04,S50M18P1075,6.1,6.1,6.1,6.1,5.8,2,216.0
22,2018-01-05,S50M18P1075,5.9,5.9,5.9,5.9,5.9,1,217.0
23,2018-01-08,S50M18P1075,6.4,7.0,6.0,7.0,7.0,106,297.0
24,2018-01-09,S50M18P1075,7.0,7.0,7.0,7.0,7.0,100,397.0
25,2018-01-10,S50M18P1075,0,0,0,0,4.2,0,397.0
26,2018-01-11,S50M18P1075,6.0,6.0,5.6,5.6,5.6,6,402.0
27,2018-01-12,S50M18P1075,6.0,6.0,5.0,5.0,5.0,6,402.0
28,2018-01-15,S50M18P1075,5.0,5.9,5.0,5.0,5.0,375,729.0
29,2018-01-16,S50M18P1075,6.1,6.1,5.0,5.0,5.0,19,744.0
30,2018-01-17,S50M18P1075,5.6,5.7,5.0,5.0,5.0,27,771.0
31,2018-01-18,S50M18P1075,5.5,5.5,5.0,5.0,5.0,4,775.0
32,2018-01-19,S50M18P1075,5.9,5.9,5.1,5.1,5.1,27,778.0
33,2018-01-22,S50M18P1075,0,0,0,0,1.4,0,778.0
34,2018-01-23,S50M18P1075,3.8,5.7,3.8,5.7,5.7,169,937.0
35,2018-01-24,S50M18P1075,4.5,4.5,4.5,4.5,4.5,4,938.0
36,2018-01-25,S50M18P1075,0,0,0,0,2.3,0,938.0
37,2018-01-26,S50M18P1075,4.4,4.4,4.4,4.4,4.4,8,936.0
38,2018-01-29,S50M18P1075,5.5,5.6,5.5,5.6,5.5,2,936.0
39,2018-01-30,S50M18P1075,5.4,5.5,5.3,5.3,5.3,26,937.0
40,2018-01-31,S50M18P1075,0,0,0,0,1.7,0,937.0
41,2018-02-01,S50M18P1075,4.0,4.0,4.0,4.0,4.0,1,937.0
42,2018-02-02,S50M18P1075,0,0,0,0,1.3,0,937.0
43,2018-02-05,S50M18P1075,5.6,5.6,5.3,5.3,5.3,259,1153.0
44,2018-02-06,S50M18P1075,5.9,9.9,5.6,8.0,8.0,22,1151.0
45,2018-02-07,S50M18P1075,5.1,7.8,5.1,7.8,7.8,7,1152.0
