,Date,Symbol,Open,High,Low,Close,SP,Vol,OI
0,2019-08-16,S50U19C1000,66.0,69.5,57.1,69.5,69.5,7,2.0
1,2019-08-19,S50U19C1000,0,0,0,0,78.9,0,2.0
2,2019-08-20,S50U19C1000,0,0,0,0,69.9,0,2.0
3,2019-08-21,S50U19C1000,0,0,0,0,79.6,0,2.0
4,2019-08-22,S50U19C1000,0,0,0,0,77.0,0,2.0
5,2019-08-23,S50U19C1000,0,0,0,0,87.5,0,2.0
6,2019-08-26,S50U19C1000,0,0,0,0,71.5,0,2.0
7,2019-08-27,S50U19C1000,0,0,0,0,65.2,0,2.0
8,2019-08-28,S50U19C1000,0,0,0,0,65.8,0,2.0
9,2019-08-29,S50U19C1000,0,0,0,0,82.4,0,2.0
10,2019-08-30,S50U19C1000,0,0,0,0,95.3,0,2.0
11,2019-09-02,S50U19C1000,0,0,0,0,94.0,0,2.0
12,2019-09-03,S50U19C1000,0,0,0,0,84.9,0,2.0
13,2019-09-04,S50U19C1000,0,0,0,0,98.9,0,2.0
14,2019-09-05,S50U19C1000,0,0,0,0,107.9,0,2.0
15,2019-09-06,S50U19C1000,0,0,0,0,108.2,0,2.0
16,2019-09-09,S50U19C1000,0,0,0,0,109.7,0,2.0
17,2019-09-10,S50U19C1000,0,0,0,0,106.6,0,2.0
18,2019-09-11,S50U19C1000,106.9,117.4,106.9,117.4,115.4,2,2.0
19,2019-09-12,S50U19C1000,0,0,0,0,103.2,0,2.0
20,2019-09-13,S50U19C1000,0,0,0,0,103.0,0,2.0
21,2019-09-16,S50U19C1000,0,0,0,0,105.5,0,2.0
22,2019-09-17,S50U19C1000,0,0,0,0,107.3,0,2.0
23,2019-09-18,S50U19C1000,0,0,0,0,100.1,0,2.0
24,2019-09-19,S50U19C1000,0,0,0,0,90.0,0,2.0
25,2019-09-20,S50U19C1000,0,0,0,0,88.7,0,2.0
26,2019-09-23,S50U19C1000,0,0,0,0,78.5,0,2.0
27,2019-09-24,S50U19C1000,0,0,0,0,84.4,0,2.0
28,2019-09-25,S50U19C1000,0,0,0,0,81.4,0,2.0
29,2019-09-26,S50U19C1000,0,0,0,0,88.5,0,2.0
30,2019-09-27,S50U19C1000,0,0,0,0,1096.94,0,2.0
31,2019-03-28,S50U19C1025,0,0,0,0,66.8,0,0.0
32,2019-03-29,S50U19C1025,71.9,71.9,69.3,69.4,69.4,26,26.0
33,2019-04-01,S50U19C1025,29.8,29.8,29.8,29.8,63.8,1,27.0
34,2019-04-02,S50U19C1025,0,0,0,0,74.9,0,27.0
35,2019-04-03,S50U19C1025,0,0,0,0,72.9,0,27.0
36,2019-04-04,S50U19C1025,0,0,0,0,69.4,0,27.0
37,2019-04-05,S50U19C1025,0,0,0,0,69.9,0,27.0
38,2019-04-09,S50U19C1025,0,0,0,0,78.3,0,27.0
39,2019-04-10,S50U19C1025,0,0,0,0,81.1,0,27.0
40,2019-04-11,S50U19C1025,0,0,0,0,77.9,0,27.0
41,2019-04-12,S50U19C1025,0,0,0,0,77.4,0,27.0
42,2019-04-17,S50U19C1025,0,0,0,0,83.9,0,27.0
43,2019-04-18,S50U19C1025,0,0,0,0,85.1,0,27.0
44,2019-04-19,S50U19C1025,0,0,0,0,84.0,0,27.0
45,2019-04-22,S50U19C1025,0,0,0,0,83.6,0,27.0
46,2019-04-23,S50U19C1025,0,0,0,0,81.9,0,27.0
47,2019-04-24,S50U19C1025,0,0,0,0,84.0,0,27.0
48,2019-04-25,S50U19C1025,0,0,0,0,83.1,0,27.0
49,2019-04-26,S50U19C1025,0,0,0,0,78.3,0,27.0
50,2019-04-29,S50U19C1025,0,0,0,0,77.0,0,27.0
51,2019-04-30,S50U19C1025,0,0,0,0,82.5,0,27.0
52,2019-05-02,S50U19C1025,0,0,0,0,86.3,0,27.0
53,2019-05-03,S50U19C1025,0,0,0,0,86.1,0,27.0
54,2019-05-07,S50U19C1025,0,0,0,0,79.4,0,27.0
55,2019-05-08,S50U19C1025,0,0,0,0,70.5,0,27.0
