,Date,Symbol,Open,High,Low,Close,SP,Vol,OI
0,2020-03-31,S50U20P625,97.0,97.0,97.0,97.0,70.0,1,1.0
1,2020-04-01,S50U20P625,50.0,50.0,50.0,50.0,50.0,1,2.0
2,2020-04-02,S50U20P625,30.0,30.0,30.0,30.0,30.0,1,2.0
3,2020-04-03,S50U20P625,0,0,0,0,74.2,0,2.0
4,2020-04-07,S50U20P625,45.0,45.0,45.0,45.0,45.0,1,3.0
5,2020-04-08,S50U20P625,0,0,0,0,64.5,0,3.0
6,2020-04-09,S50U20P625,48.0,50.0,48.0,50.0,50.0,2,5.0
7,2020-04-10,S50U20P625,0,0,0,0,53.5,0,5.0
8,2020-04-13,S50U20P625,0,0,0,0,48.1,0,5.0
9,2020-04-14,S50U20P625,48.0,51.0,47.0,51.0,51.0,4,9.0
10,2020-04-15,S50U20P625,50.9,50.9,50.0,50.0,50.0,2,11.0
11,2020-04-16,S50U20P625,49.2,49.9,49.2,49.9,49.9,5,16.0
12,2020-04-17,S50U20P625,49.8,50.0,48.5,50.0,50.0,5,21.0
13,2020-04-20,S50U20P625,49.9,49.9,49.9,49.9,49.9,2,23.0
14,2020-04-21,S50U20P625,49.8,55.0,49.8,55.0,55.0,6,29.0
15,2020-04-22,S50U20P625,0,0,0,0,30.4,0,29.0
16,2020-04-23,S50U20P625,0,0,0,0,26.9,0,29.0
17,2020-04-24,S50U20P625,0,0,0,0,26.5,0,29.0
18,2020-04-27,S50U20P625,0,0,0,0,22.8,0,29.0
19,2020-04-28,S50U20P625,0,0,0,0,19.8,0,29.0
20,2020-04-29,S50U20P625,0,0,0,0,17.3,0,29.0
21,2020-04-30,S50U20P625,28.5,30.0,28.0,28.0,28.0,8,35.0
22,2020-05-05,S50U20P625,0,0,0,0,14.4,0,35.0
23,2020-05-07,S50U20P625,23.0,23.0,23.0,23.0,23.0,1,36.0
24,2020-05-08,S50U20P625,19.9,19.9,19.9,19.9,19.9,1,36.0
25,2020-05-11,S50U20P625,15.0,15.0,15.0,15.0,15.0,1,37.0
26,2020-05-12,S50U20P625,12.1,12.1,12.1,12.1,12.1,1,37.0
27,2020-05-13,S50U20P625,10.0,10.0,10.0,10.0,10.0,2,39.0
28,2020-05-14,S50U20P625,11.0,11.2,11.0,11.2,11.2,5,40.0
29,2020-05-15,S50U20P625,11.0,11.2,8.1,8.1,8.1,5,44.0
30,2020-05-18,S50U20P625,0,0,0,0,5.0,0,44.0
31,2020-05-19,S50U20P625,6.0,6.2,6.0,6.2,6.2,4,47.0
32,2020-05-20,S50U20P625,6.5,6.5,6.2,6.2,6.2,8,54.0
33,2020-05-21,S50U20P625,6.2,6.2,5.5,5.5,5.5,8,55.0
34,2020-05-22,S50U20P625,0,0,0,0,2.8,0,55.0
35,2020-05-25,S50U20P625,4.5,4.5,4.5,4.5,4.5,1,55.0
36,2020-05-26,S50U20P625,3.0,3.0,3.0,3.0,3.1,1,55.0
37,2020-05-27,S50U20P625,0,0,0,0,1.0,0,55.0
38,2020-05-28,S50U20P625,3.1,5.8,3.1,3.1,3.2,3,58.0
39,2020-05-29,S50U20P625,0,0,0,0,0.6,0,58.0
40,2020-06-01,S50U20P625,3.1,4.1,3.1,3.1,3.1,5,63.0
41,2020-06-02,S50U20P625,4.0,4.0,4.0,4.0,4.0,4,63.0
42,2020-06-04,S50U20P625,3.9,3.9,3.9,3.9,3.9,2,65.0
43,2020-06-05,S50U20P625,3.2,3.2,3.2,3.2,3.2,12,77.0
44,2020-06-08,S50U20P625,3.2,3.2,3.2,3.2,3.2,7,78.0
45,2020-06-09,S50U20P625,3.0,3.0,3.0,3.0,3.0,1,79.0
46,2020-06-10,S50U20P625,2.2,3.3,2.2,3.3,3.3,5,83.0
47,2020-06-11,S50U20P625,3.3,5.0,3.3,5.0,5.0,68,151.0
48,2020-06-12,S50U20P625,6.4,6.4,4.0,4.0,4.0,5,156.0
49,2020-06-15,S50U20P625,5.0,5.9,5.0,5.7,5.7,84,235.0
50,2020-06-16,S50U20P625,5.9,5.9,3.8,3.8,3.8,10,234.0
51,2020-06-17,S50U20P625,2.3,3.8,2.3,3.2,3.2,18,244.0
52,2020-06-18,S50U20P625,3.0,3.7,2.2,3.2,3.2,67,259.0
53,2020-06-19,S50U20P625,2.6,3.0,2.6,2.9,2.9,39,272.0
54,2020-06-22,S50U20P625,3.1,3.5,2.9,3.2,3.2,34,303.0
55,2020-06-23,S50U20P625,3.3,3.3,3.0,3.2,3.2,30,327.0
56,2020-06-24,S50U20P625,3.2,4.5,2.9,4.5,4.7,56,377.0
57,2020-06-25,S50U20P625,4.7,6.0,4.7,5.0,5.0,279,594.0
58,2020-06-26,S50U20P625,4.5,4.9,2.6,3.9,3.9,74,584.0
59,2020-06-29,S50U20P625,4.0,4.1,3.7,3.7,3.7,24,604.0
60,2020-06-30,S50U20P625,3.0,3.3,2.6,2.8,2.8,124,648.0
61,2020-07-01,S50U20P625,2.6,3.0,2.6,2.6,2.6,189,796.0
62,2020-07-02,S50U20P625,2.3,2.5,2.0,2.0,2.0,126,848.0
63,2020-07-03,S50U20P625,2.0,2.6,2.0,2.3,2.3,81,917.0
64,2020-07-07,S50U20P625,1.9,2.3,1.9,2.3,2.3,67,946.0
65,2020-07-08,S50U20P625,2.0,2.4,2.0,2.4,2.4,71,952.0
66,2020-07-09,S50U20P625,2.1,2.3,2.0,2.0,2.0,47,971.0
67,2020-07-10,S50U20P625,2.5,2.9,2.3,2.8,2.8,51,994.0
68,2020-07-13,S50U20P625,2.8,3.0,2.2,2.7,2.7,174,1072.0
69,2020-07-14,S50U20P625,3.0,3.1,2.4,2.4,2.4,27,1086.0
70,2020-07-15,S50U20P625,2.1,2.3,2.0,2.2,2.2,53,1083.0
71,2020-07-16,S50U20P625,2.3,2.3,2.0,2.3,2.3,50,1107.0
72,2020-07-17,S50U20P625,2.0,2.1,1.0,1.8,1.8,66,1156.0
73,2020-07-20,S50U20P625,1.8,1.8,1.4,1.5,1.5,75,1170.0
74,2020-07-21,S50U20P625,1.3,1.3,1.1,1.2,1.2,95,1193.0
75,2020-07-22,S50U20P625,1.5,1.5,1.2,1.5,1.5,86,1233.0
76,2020-07-23,S50U20P625,1.5,1.5,1.3,1.5,1.5,40,1247.0
77,2020-07-24,S50U20P625,1.6,1.6,1.6,1.6,1.6,22,1261.0
78,2020-07-29,S50U20P625,1.4,1.7,1.4,1.4,1.4,29,1263.0
79,2020-07-30,S50U20P625,1.1,1.9,1.1,1.7,1.7,63,1273.0
80,2020-07-31,S50U20P625,1.5,1.5,1.3,1.3,1.3,24,1277.0
81,2020-08-03,S50U20P625,1.1,1.1,0.9,1.1,1.1,34,1293.0
82,2020-08-04,S50U20P625,0.8,1.1,0.8,1.0,1.0,22,1297.0
83,2020-08-05,S50U20P625,0.5,0.9,0.5,0.9,0.9,9,1304.0
84,2020-08-06,S50U20P625,1.0,1.0,0.8,0.8,0.8,2,1305.0
85,2020-08-07,S50U20P625,0.9,1.2,0.9,1.2,1.0,8,1306.0
86,2020-08-10,S50U20P625,0.9,1.2,0.9,0.9,0.9,11,1311.0
87,2020-08-11,S50U20P625,0.7,0.8,0.7,0.7,0.7,29,1325.0
88,2020-08-13,S50U20P625,0.5,0.6,0.5,0.5,0.5,37,1330.0
89,2020-08-14,S50U20P625,0.6,0.7,0.5,0.6,0.6,35,1363.0
90,2020-08-17,S50U20P625,0,0,0,0,0.1,0,1363.0
91,2020-08-18,S50U20P625,0.7,0.7,0.4,0.4,0.4,4,1362.0
92,2020-08-19,S50U20P625,0.4,1.1,0.4,0.9,0.9,16,1373.0
93,2020-08-20,S50U20P625,0.8,1.0,0.7,0.8,0.8,21,1386.0
94,2020-08-21,S50U20P625,0.5,0.8,0.5,0.8,0.8,28,1390.0
95,2020-08-24,S50U20P625,0.7,0.7,0.5,0.5,0.5,39,1424.0
96,2020-08-25,S50U20P625,0.4,0.5,0.4,0.5,0.5,18,1422.0
97,2020-08-26,S50U20P625,0.4,0.4,0.4,0.4,0.4,22,1443.0
98,2020-08-27,S50U20P625,0.3,0.3,0.2,0.2,0.2,68,1441.0
99,2020-08-28,S50U20P625,0.2,0.3,0.2,0.3,0.3,21,1455.0
100,2020-08-31,S50U20P625,0.2,0.3,0.2,0.3,0.3,9,1455.0
101,2020-09-01,S50U20P625,0.3,0.3,0.2,0.2,0.2,27,1470.0
102,2020-09-02,S50U20P625,0,0,0,0,0.1,0,1470.0
103,2020-09-03,S50U20P625,0,0,0,0,0.1,0,1470.0
104,2020-09-08,S50U20P625,0.3,0.3,0.3,0.3,0.3,1,1470.0
105,2020-09-09,S50U20P625,0.4,0.4,0.4,0.4,0.3,1,1470.0
106,2020-09-10,S50U20P625,0,0,0,0,0.1,0,1470.0
107,2020-09-11,S50U20P625,0.2,0.2,0.2,0.2,0.2,2,1470.0
108,2020-09-14,S50U20P625,0.1,0.2,0.1,0.2,0.2,4,1467.0
109,2020-09-15,S50U20P625,0,0,0,0,0.1,0,1467.0
110,2020-09-16,S50U20P625,0.2,0.2,0.1,0.1,0.1,2,1465.0
111,2020-09-17,S50U20P625,0.1,0.1,0.1,0.1,0.1,3,1462.0
112,2020-09-18,S50U20P625,0.1,0.1,0.1,0.1,0.1,14,1448.0
113,2020-09-21,S50U20P625,0,0,0,0,0.1,0,1448.0
114,2020-09-22,S50U20P625,0,0,0,0,0.1,0,1448.0
115,2020-09-23,S50U20P625,0,0,0,0,0.1,0,1448.0
116,2020-09-24,S50U20P625,0,0,0,0,0.1,0,1448.0
117,2020-09-25,S50U20P625,0,0,0,0,0.1,0,1448.0
118,2020-09-28,S50U20P625,0,0,0,0,0.1,0,1448.0
119,2020-09-29,S50U20P625,0,0,0,0,794.76,0,1448.0
120,2020-03-30,S50U20P650,77.0,77.0,70.0,70.0,110.1,3,3.0
121,2020-03-31,S50U20P650,0,0,0,0,99.5,0,3.0
122,2020-04-01,S50U20P650,56.7,56.7,56.7,56.7,100.2,20,23.0
123,2020-04-02,S50U20P650,0,0,0,0,90.2,0,23.0
124,2020-04-03,S50U20P650,0,0,0,0,85.5,0,23.0
125,2020-04-07,S50U20P650,55.0,55.0,55.0,55.0,56.0,1,24.0
126,2020-04-08,S50U20P650,0,0,0,0,74.6,0,24.0
127,2020-04-09,S50U20P650,0,0,0,0,69.6,0,24.0
128,2020-04-10,S50U20P650,0,0,0,0,62.7,0,24.0
129,2020-04-13,S50U20P650,0,0,0,0,56.9,0,24.0
130,2020-04-14,S50U20P650,56.0,56.0,56.0,56.0,50.0,1,25.0
131,2020-04-15,S50U20P650,55.0,55.0,55.0,55.0,55.0,2,26.0
