,Date,Symbol,Open,High,Low,Close,SP,Vol,OI
0,2016-06-29,S50Z16P850,21.0,25.9,21.0,23.5,23.5,75,75.0
1,2016-06-30,S50Z16P850,22.3,23.2,22.3,23.2,23.2,53,128.0
2,2016-07-04,S50Z16P850,20.4,20.5,19.1,19.2,19.4,35,162.0
3,2016-07-05,S50Z16P850,19.7,20.0,19.0,19.6,19.6,11,172.0
4,2016-07-06,S50Z16P850,22.0,22.2,22.0,22.2,22.2,383,398.0
5,2016-07-07,S50Z16P850,19.1,21.7,18.9,20.0,20.0,204,600.0
6,2016-07-08,S50Z16P850,21.9,22.5,21.9,22.5,22.5,200,800.0
7,2016-07-11,S50Z16P850,17.0,19.4,17.0,17.2,17.3,26,806.0
8,2016-07-12,S50Z16P850,17.0,17.0,15.0,15.0,15.2,28,817.0
9,2016-07-13,S50Z16P850,16.1,16.1,16.1,16.1,16.1,200,1017.0
10,2016-07-14,S50Z16P850,15.0,15.0,13.0,14.0,14.0,28,1020.0
11,2016-07-15,S50Z16P850,14.3,14.3,13.8,13.8,13.8,14,1020.0
12,2016-07-20,S50Z16P850,8.6,8.6,8.6,8.6,8.6,1,1021.0
13,2016-07-21,S50Z16P850,0,0,0,0,4.4,0,1021.0
14,2016-07-22,S50Z16P850,0,0,0,0,3.6,0,1021.0
15,2016-07-25,S50Z16P850,10.3,10.3,8.5,8.5,8.5,7,1020.0
16,2016-07-26,S50Z16P850,8.3,9.4,8.3,9.2,3.4,5,1020.0
17,2016-07-27,S50Z16P850,0,0,0,0,2.7,0,1020.0
18,2016-07-28,S50Z16P850,8.6,8.6,8.6,8.6,2.1,4,1021.0
19,2016-07-29,S50Z16P850,8.9,9.0,8.9,8.9,8.9,25,1021.0
20,2016-08-01,S50Z16P850,8.5,8.5,8.5,8.5,8.7,10,1031.0
21,2016-08-02,S50Z16P850,10.6,10.6,10.6,10.6,10.6,12,1031.0
22,2016-08-03,S50Z16P850,10.7,12.2,10.7,10.7,10.7,83,1032.0
23,2016-08-04,S50Z16P850,0,0,0,0,2.6,0,1032.0
24,2016-08-05,S50Z16P850,0,0,0,0,2.1,0,1032.0
25,2016-08-08,S50Z16P850,5.2,5.2,5.1,5.1,5.1,2,1031.0
26,2016-08-09,S50Z16P850,5.0,5.0,5.0,5.0,5.1,1,1030.0
27,2016-08-10,S50Z16P850,0,0,0,0,1.6,0,1030.0
28,2016-08-11,S50Z16P850,0,0,0,0,1.2,0,1030.0
29,2016-08-15,S50Z16P850,5.0,7.9,5.0,7.7,7.7,52,1050.0
30,2016-08-16,S50Z16P850,6.4,6.5,6.3,6.3,6.3,8,1056.0
31,2016-08-17,S50Z16P850,0,0,0,0,1.2,0,1056.0
32,2016-08-18,S50Z16P850,4.8,7.0,4.8,6.9,6.8,3,1057.0
33,2016-08-19,S50Z16P850,0,0,0,0,1.1,0,1057.0
34,2016-08-22,S50Z16P850,0,0,0,0,0.8,0,1057.0
35,2016-08-23,S50Z16P850,0,0,0,0,0.6,0,1057.0
36,2016-08-24,S50Z16P850,3.8,3.8,3.8,3.8,3.8,1,1058.0
37,2016-08-25,S50Z16P850,3.0,5.1,3.0,5.1,5.1,3,1061.0
38,2016-08-26,S50Z16P850,3.0,3.9,3.0,3.9,3.6,3,1063.0
39,2016-08-29,S50Z16P850,3.2,3.2,3.2,3.2,3.2,1,1063.0
40,2016-08-30,S50Z16P850,3.0,3.0,3.0,3.0,3.0,1,1063.0
41,2016-08-31,S50Z16P850,3.1,3.1,3.1,3.1,3.1,1,1064.0
42,2016-09-01,S50Z16P850,2.1,4.8,2.1,4.8,4.8,15,1077.0
43,2016-09-02,S50Z16P850,4.5,4.5,4.5,4.5,4.5,1,1078.0
44,2016-09-05,S50Z16P850,6.7,9.0,4.0,6.1,6.1,8,1081.0
45,2016-09-06,S50Z16P850,0,0,0,0,1.7,0,1081.0
46,2016-09-07,S50Z16P850,5.4,8.2,5.4,8.2,8.2,4,1081.0
47,2016-09-08,S50Z16P850,7.8,13.6,7.8,8.5,8.5,63,1068.0
48,2016-09-09,S50Z16P850,9.6,13.0,9.6,11.0,11.0,36,1080.0
49,2016-09-12,S50Z16P850,14.9,21.9,13.5,20.0,21.0,81,1103.0
50,2016-09-13,S50Z16P850,19.7,19.7,11.9,11.9,11.9,13,1112.0
51,2016-09-14,S50Z16P850,11.7,11.9,11.0,11.0,11.0,16,1126.0
52,2016-09-15,S50Z16P850,13.0,13.0,12.0,12.0,12.0,59,1173.0
53,2016-09-16,S50Z16P850,12.0,12.0,11.0,11.0,11.0,54,1227.0
54,2016-09-19,S50Z16P850,11.5,11.5,9.5,9.6,9.6,64,1287.0
55,2016-09-20,S50Z16P850,13.4,13.4,10.5,10.5,10.5,211,1480.0
56,2016-09-21,S50Z16P850,8.5,11.9,8.0,10.0,10.0,62,1536.0
57,2016-09-22,S50Z16P850,7.9,8.1,7.8,7.8,7.8,65,1597.0
58,2016-09-23,S50Z16P850,8.6,10.0,8.6,8.6,8.7,149,1641.0
59,2016-09-26,S50Z16P850,10.5,10.5,9.5,10.4,10.4,37,1676.0
60,2016-09-27,S50Z16P850,10.4,10.7,10.0,10.7,10.7,231,1902.0
61,2016-09-28,S50Z16P850,10.1,11.4,10.0,10.5,10.5,28,1926.0
62,2016-09-29,S50Z16P850,8.0,10.5,8.0,10.2,10.2,191,2106.0
63,2016-09-30,S50Z16P850,9.6,10.0,8.2,8.2,8.2,32,2126.0
64,2016-10-03,S50Z16P850,8.3,9.5,8.3,9.2,9.2,257,2355.0
65,2016-10-04,S50Z16P850,8.9,8.9,6.9,6.9,6.9,325,2574.0
66,2016-10-05,S50Z16P850,7.7,7.7,7.0,7.5,7.6,103,2670.0
67,2016-10-06,S50Z16P850,7.5,7.5,6.9,6.9,6.9,2,2671.0
68,2016-10-07,S50Z16P850,7.7,7.7,6.5,7.7,7.7,6,2669.0
69,2016-10-10,S50Z16P850,12.4,16.0,10.0,12.0,12.0,102,2688.0
70,2016-10-11,S50Z16P850,12.0,16.0,11.3,13.5,13.5,113,2679.0
71,2016-10-12,S50Z16P850,16.9,49.8,16.0,25.0,25.0,396,2698.0
72,2016-10-13,S50Z16P850,29.7,51.0,10.0,12.1,12.2,567,2790.0
73,2016-10-14,S50Z16P850,13.0,17.0,9.3,10.0,10.0,160,2798.0
74,2016-10-17,S50Z16P850,14.9,16.0,10.9,12.0,11.7,38,2817.0
75,2016-10-18,S50Z16P850,11.9,13.0,9.8,11.0,11.0,108,2859.0
76,2016-10-19,S50Z16P850,12.9,12.9,9.2,9.3,9.3,106,2912.0
77,2016-10-20,S50Z16P850,9.0,9.3,8.4,8.5,8.6,122,2920.0
78,2016-10-21,S50Z16P850,8.2,9.1,8.1,8.1,8.1,36,2940.0
79,2016-10-25,S50Z16P850,7.0,7.9,6.5,6.5,6.5,41,2940.0
80,2016-10-26,S50Z16P850,7.0,8.0,6.8,8.0,8.0,58,2951.0
81,2016-10-27,S50Z16P850,8.0,8.5,7.2,7.2,7.2,73,2957.0
82,2016-10-28,S50Z16P850,7.4,8.0,7.4,7.5,7.5,12,2960.0
83,2016-10-31,S50Z16P850,7.1,9.0,7.0,7.9,7.9,74,2964.0
84,2016-11-01,S50Z16P850,6.8,7.7,6.0,6.9,6.5,123,2982.0
85,2016-11-02,S50Z16P850,6.8,7.5,6.6,7.0,7.1,53,2989.0
86,2016-11-03,S50Z16P850,7.0,7.6,6.8,7.6,7.6,37,2990.0
87,2016-11-04,S50Z16P850,8.5,8.5,7.8,8.0,8.0,209,3123.0
88,2016-11-07,S50Z16P850,6.3,7.0,5.2,5.9,5.9,41,3138.0
89,2016-11-08,S50Z16P850,5.1,5.1,4.5,4.5,4.5,238,3158.0
90,2016-11-09,S50Z16P850,5.9,6.4,4.2,4.3,4.3,395,3438.0
91,2016-11-10,S50Z16P850,4.0,4.0,3.4,3.7,3.7,113,3434.0
92,2016-11-11,S50Z16P850,3.9,4.9,3.9,4.4,4.4,111,3452.0
93,2016-11-14,S50Z16P850,7.0,7.1,5.3,7.1,7.1,183,3520.0
94,2016-11-15,S50Z16P850,5.9,8.0,5.8,6.4,6.3,108,3516.0
95,2016-11-16,S50Z16P850,5.0,6.5,4.9,5.9,6.1,104,3502.0
96,2016-11-17,S50Z16P850,6.8,7.4,5.2,5.2,5.2,110,3533.0
97,2016-11-18,S50Z16P850,6.2,7.1,5.3,6.0,6.0,204,3636.0
98,2016-11-21,S50Z16P850,5.1,5.2,4.5,4.9,4.9,75,3688.0
99,2016-11-22,S50Z16P850,4.2,4.3,3.7,3.7,3.7,50,3691.0
