,Date,Symbol,Open,High,Low,Close,SP,Vol,OI
0,2022-10-12,S50Z22C825,0,0,0,0,110.3,0,0.0
1,2022-10-17,S50Z22C825,0,0,0,0,115.3,0,0.0
2,2022-10-18,S50Z22C825,0,0,0,0,125.4,0,0.0
3,2022-10-19,S50Z22C825,0,0,0,0,125.6,0,0.0
4,2022-10-20,S50Z22C825,0,0,0,0,134.3,0,0.0
5,2022-10-21,S50Z22C825,0,0,0,0,134.3,0,0.0
6,2022-10-25,S50Z22C825,0,0,0,0,140.1,0,0.0
7,2022-10-26,S50Z22C825,0,0,0,0,140.2,0,0.0
8,2022-10-27,S50Z22C825,141.1,141.1,141.1,141.1,141.1,1,1.0
9,2022-10-28,S50Z22C825,0,0,0,0,149.5,0,1.0
10,2022-10-31,S50Z22C825,0,0,0,0,152.5,0,1.0
11,2022-11-01,S50Z22C825,162.5,162.5,162.5,162.5,162.6,1,2.0
12,2022-11-02,S50Z22C825,0,0,0,0,164.6,0,2.0
13,2022-11-03,S50Z22C825,0,0,0,0,162.8,0,2.0
14,2022-11-04,S50Z22C825,0,0,0,0,163.0,0,2.0
15,2022-11-07,S50Z22C825,0,0,0,0,160.6,0,2.0
16,2022-11-08,S50Z22C825,0,0,0,0,168.1,0,2.0
17,2022-11-09,S50Z22C825,164.9,164.9,164.9,164.9,164.9,1,2.0
18,2022-11-10,S50Z22C825,0,0,0,0,161.0,0,2.0
19,2022-11-11,S50Z22C825,172.0,172.0,172.0,172.0,174.6,1,3.0
20,2022-11-14,S50Z22C825,178.0,178.0,178.0,178.0,178.0,20,23.0
21,2022-11-15,S50Z22C825,167.4,167.4,167.4,167.4,167.4,17,40.0
22,2022-11-16,S50Z22C825,0,0,0,0,158.2,0,40.0
23,2022-11-17,S50Z22C825,0,0,0,0,154.3,0,40.0
24,2022-11-18,S50Z22C825,0,0,0,0,155.3,0,40.0
25,2022-11-21,S50Z22C825,0,0,0,0,158.5,0,40.0
26,2022-11-22,S50Z22C825,0,0,0,0,155.8,0,40.0
27,2022-11-23,S50Z22C825,0,0,0,0,161.7,0,40.0
28,2022-11-24,S50Z22C825,0,0,0,0,162.0,0,40.0
29,2022-11-25,S50Z22C825,0,0,0,0,157.2,0,40.0
30,2022-11-28,S50Z22C825,0,0,0,0,153.5,0,40.0
31,2022-11-29,S50Z22C825,0,0,0,0,160.9,0,40.0
32,2022-11-30,S50Z22C825,0,0,0,0,167.8,0,40.0
33,2022-12-01,S50Z22C825,0,0,0,0,168.5,0,40.0
34,2022-12-02,S50Z22C825,0,0,0,0,161.5,0,40.0
35,2022-12-06,S50Z22C825,0,0,0,0,158.0,0,40.0
36,2022-12-07,S50Z22C825,0,0,0,0,153.1,0,40.0
37,2022-12-08,S50Z22C825,0,0,0,0,151.8,0,40.0
38,2022-12-09,S50Z22C825,0,0,0,0,153.4,0,40.0
39,2022-12-13,S50Z22C825,0,0,0,0,155.7,0,40.0
40,2022-12-14,S50Z22C825,0,0,0,0,159.2,0,40.0
41,2022-12-15,S50Z22C825,158.0,158.0,158.0,158.0,158.0,1,39.0
42,2022-12-16,S50Z22C825,0,0,0,0,154.8,0,39.0
